uname,sex,message,like,uid,location
一笑奈何dx,男,"看到了第六遍我终于彻底看明白了，未来的人类拯救过去是怎么回事。
祖母悖论是假定你进入四维空间时间穿越，杀死了自己的祖母，你还会不会存在，如果你不存在了，那么你的祖母是谁杀的。如果b计划活下来的人类还是三维或四维生物，就会触发祖母悖论，他们是不可能改变历史的。
但新人类偏偏发展到了五维生物，你猜是为什么？五维以上就不需要考虑祖母悖论了，所以因为b计划活下来的人类进化到五维生物之后就可以指导以前的人类拯救自己，改变历史，同时不会影响身为五维生物的自己。",806,106174813,天津
韩某纵横天南百余年,男,三刷，发现一个之前都没发现的隐藏线：最开始的计划中是没有库珀的，只有布兰德和他的男友通过虫洞到达了一个宜居星球，然后繁衍生息进化到五维文明，地球文明彻底灭绝，可能是老祖宗布兰德的”遗令“也可能是五维文明看到兄弟文明的陨落心有不忍，于是通过高维度的干预 选中库珀和他的女儿来拯救地球文明，方式就是在地球毁灭前把库珀也送上飞船，然后把五维和虫洞中的量子数据传给他的女儿，让她造出了离心力空间站，保存了部分地球文明,984,62650608,未知
夜里很饿吃元宵,保密,"2014年上映，今天是2019年
14年上映的时候我高一，和班长去影院看了一遍

今天忽然发现这部电影，又看了第四遍
哭了无数次，我不知道是因为电影里时间的穿越还是男主献身的精神，是黑洞虫洞给我心灵的震撼，是家庭和爱情，是希望，还是，自己的这五年。

五年，星际穿越陪伴了我的青春，特别是主题曲，更是陪我走过了高考的时光。

如今，我大三

今晚，重温星穿

或许，我在为我浪费的这三年而哭泣，为一些微不足道的事情让我的能力停留在三年前。我看着男主为了爱，为了希望闯入黑洞，看到黑暗中闪烁的光点。

或许在五维空间里，我的未来早已被确定

但我希望那是一个很棒的未来，而我的当下，决定了那个“未来”。

我不应这样，至今沉浸在高考的失败中，把未来交给熵增。人应该亲手决定自己的未来，人不应该惧怕死亡，在有限的时间里，即时改变，诠释自己的未来。

明年的现在，就是我们这届考研的日子，我的书会从书架上落下么？砸在我的手里，让我注意到自己应该去的那个未来。

不要温驯的走入那个良夜
去反抗这现实，去拼搏，去发掘未来可能性
何况
人还是青年",7885,23672907,未知
999886745,男,不要在质疑为什么人进黑洞没被撕裂，因为星际穿越中的这个黑洞是超大质量黑洞，有一个温和的奇点 而且人对于黑洞质量及其微小，所以不会被撕裂，反观如果是一个恒星靠近这个黑洞就会被撕裂,567,1369985646,上海
kismet______,男,看完后想起以前偶然看到的一句话，“每当你有学习的念头时，就是未来的你在向你求救”  也许，这是真的。,8087,565093968,四川
柴可夫斯基不会开飞机,女,最后一部跟爸爸妈妈一起看的电影，我很开心，看的是我喜欢的导演拍的我最喜欢的一部片子。虽然爸爸不在了，但我永远相信，在未来时空的某一个节点我们会相遇的。即使我再也见不到你，你也永远活在我身边。,4248,10079863,未知
凬先生,保密,"关于最后主角在高维空间给女儿传递信息那里做个不算科普的小科普吧：
在我们生活中，竖直放置的钟表，在能源耗尽停止的时候，秒针会因为地球引力停在9下面一点的位置。
因为秒针转动一圈，在与地面平行表盘数字9处是需要做功最多的，能源即将耗尽的秒针会因为剩余能源不足以支撑秒针克服自身重力越过9，所以会在9下面一点一直晃动，直到能量耗尽，彻底停止。
而电影最后的手表，秒针也是在9下面晃动，而那个晃动频率就是男主传递给女儿的带着信息的摩尔电码。那秒针的晃动确实是引力造成的，所以电影中最后的手表信息也是引力传递的。",8029,105493601,未知
骗人的小红帽,保密,"一直久闻《星际穿越》大名，今天补完万分感叹
 果然神作，尤其是结局太棒了。
    其实「他们」指的一定就是男主和女主所带领的那一部分人类吧！我想大部分B站的小伙伴也都察觉到了吧！
    在结局墨菲也直言，让他去找殖民船的那个妹子，说她一个人孤独的在建立殖民地，让他去陪她。
  因为地球这边的人根本不相信是男主拯救了他们，也就是说在未来是另一群相信是男主拯救了过去的人类，而且在五维空间里到底发生了什么的，唯一的知情人就是男主自己，所以墨菲才让男主去偷飞船去找女主。  这结局真的是太棒了！一代神剧！为编剧点赞👍👍",4046,49486317,未知
月下咖啡,男,"马特达蒙 不是在被救 就是等待救援的路上
连姆尼森 不是在营救 就是在营救的路上
基努里维斯 不是在杀人 就是在追杀别人的路上",2135,20517916,未知
咸鱼配菜,保密,"关于儿子的下落，电影发布后的官方小说有所交待:
""他再也见不到汤姆了。他的儿子差不多在二十年前便已去世，孙子小库珀的生理年龄也足以当他的爸爸了。他认识的所有人几乎都已经死去，只有墨菲还活着""。
电影结尾也说了女儿是靠冷冻仓活下来的，儿子应该已去世。",3609,362588991,未知
9天应元雷声普化天尊,男,就连塔斯的演技都完爆国内某些演员[微笑],3458,259829051,未知
